953	17291	18325	18312	17442	18989	15663	18108	15800	18381	17732	15549	19009	18581	17618	24313	17125	17883	15882	16156	15469
4004	15399	23552	15918	22232	21134	17229	15889	18749	18353	18941	17636	15442	20752	21542	20929	22340	18173	18658	15618	19215
2827	15644	21390	20477	22722	23558	22265	24609	19215	21304	17283	15947	21910	21542	19072	22263	21372	23379	18941	23138	15829
3449	16552	15769	18941	15985	16329	20167	17443	15531	15585	17021	19749	25298	15632	24135	16131	25072	17626	17610	19875	16725
10286	19617	21528	21239	19897	18221	19699	19613	21214	19561	18440	19595	21199	20024	17687	19598	19591	20474	20473	20037	19667
1991	15399	16759	23510	15751	19103	20501	15434	17873	20348	22155	17636	17254	17456	22753	19998	17314	23500	18872	16835	18467
1802	15644	23552	19215	17229	21390	17283	15351	15790	15434	15647	19072	15368	15862	18440	21877	15859	16144	15889	20752	21017
3315	20534	23668	22221	22555	22421	21685	15558	17510	22593	23756	18141	23473	24296	20864	19395	18078	16213	24834	24710	17810
3172	16289	20471	17466	24149	17740	23211	23956	19789	22662	20575	17259	23642	20570	24804	18283	23996	22953	25144	22645	24210
6628	20376	20066	22015	21638	21182	22248	22340	22012	23552	23560	16153	20429	18879	18503	22913	19206	22132	20378	19791	22325
8678	25071	22248	16840	19044	23801	16599	16469	17964	16050	23462	16784	25073	16866	18803	23741	18367	21798	20570	16116	21700
11786	15558	17740	23802	15856	15947	21532	20283	19289	16574	15809	15990	15341	17220	17029	15857	19237	19056	16480	20260	16575
12402	17283	16114	20709	16135	15538	15857	16467	23516	20502	18469	16144	17118	20785	22001	16034	17964	18824	15669	20929	15974
5565	15442	19975	19044	18936	15644	15399	15618	15406	15341	23552	18667	19072	17148	19078	18125	18672	16042	17229	16975	17964
14709	23552	16900	19248	21532	24280	15698	15341	15646	25007	15597	18048	21305	22070	19249	20976	18871	23124	16917	20532	21380
9264	17148	22750	20735	23660	17575	19259	17149	23662	19792	22004	22284	24242	21436	22281	19357	22761	22751	16827	20734	20677
12497	16289	15467	16011	16016	17329	20019	15518	18092	19865	15839	20049	22156	16274	16787	16952	16891	23462	15493	20492	16132
1616	23552	17469	15406	15786	18619	21124	15889	19243	18860	25007	21379	19015	15572	19983	16683	16964	16128	21566	19838	17491
3384	16481	18504	19855	15866	16075	15507	16036	15482	19289	17456	15560	16975	16575	16487	17109	18477	17545	19247	16875	18369
11615	15311	21336	17424	19544	17003	17708	20585	19948	19064	21458	15648	19270	20039	23754	24043	17164	17459	15981	22663	17324
7984	21336	19064	19544	18048	19948	17708	22663	17459	17164	24012	19052	17003	20790	18196	18694	21191	19270	23841	20039	20585
5483	21725	17990	16267	19270	22924	18048	18256	21988	23647	15311	21288	22361	20950	17424	23266	19948	17003	24054	22663	25337
10294	17708	18048	21458	17003	19064	19948	17164	24043	20585	17459	24012	15648	19052	17709	19270	17331	16178	16395	23754	20790
8734	16980	15478	15944	17873	16089	15442	16034	16036	15518	18577	20190	15716	15920	17283	15746	15311	18367	15760	21906	15697
3398	15311	19544	17331	19064	23754	18048	17424	19270	15686	20585	19948	24043	15383	17709	20796	20943	15981	22342	21725	17990
8437	21336	23841	20187	17003	17708	20790	18694	17459	19064	19948	22663	23921	19704	19052	24012	19544	16729	16046	18838	15645
4991	24874	21725	20950	25007	24055	17492	23260	24973	23439	21288	24858	18048	18256	23005	21286	24221	19270	24644	23893	23085
8782	21336	15311	17424	19064	17003	17708	19948	16729	19544	17164	20790	18048	22663	24012	23841	17459	15323	18507	16873	15308
